entry_id	kingdom	phylum	class	order	family	genus	species	cell_type	gene_symbol	cell_subtype	sample_type	tissue_type	pubmed_id	journal	title	geo_id
1	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Cartilage	"matn4, col9a2"	Cartilage	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
2	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Dorsolateral	nptx2a	Dorsolateral	Tissue	Brain	29576475	Current Biology	Comprehensive Identifification and Spatial Mapping of Habenular Neuronal Types Using Single-Cell RNA_x0002_Seq	GSE105115
3	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Dorsomedial	"gpr151, pou4f1"	Dorsomedial	Tissue	Brain	29576475	Current Biology	Comprehensive Identifification and Spatial Mapping of Habenular Neuronal Types Using Single-Cell RNA_x0002_Seq	GSE105115
4	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Epidermal cells	"epcam, cldni"	Epidermal cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
5	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Eye cells	"foxg1b, lim2.4, pmela, ca14, gnat1, opn1mw1"	Eye cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
6	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Pharyngeal arches	"pmp22a, prrx1b, barx1"	Pharyngeal arches	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
7	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Sensory placodes	"dlx3b, six1b"	Sensory placodes	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
8	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Trigeminal ganglia	"ptgs2a, tp63, cavin2a"	Trigeminal ganglia	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
9	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Ventral	aoc1	Ventral	Tissue	Brain	29576475	Current Biology	Comprehensive Identifification and Spatial Mapping of Habenular Neuronal Types Using Single-Cell RNA_x0002_Seq	GSE105115
10	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Blood cells	"cahz, etv2, cd74a"	Blood cells	Tissue	Brain	33068532	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development.	GSE158142
11	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Hoxa2b, Cyp26b1"	Neural cells c0	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
12	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Zic1, Atoh1a"	Neural cells c0	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
13	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Ihx9, Barh1"	Neural cells c0	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
14	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Zic1, Msx1b"	Neural cells c1	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
15	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Mki67, Ibx1b"	Neural cells c1	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
16	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Fzd7a, Gfap"	Neural cells c1	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
17	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Tfap2a	Neural cells c10	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
18	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Tfap2b	Neural cells c10	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
19	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Atoh1b	Neural cells c11	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
20	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Phoxa2a	Neural cells c11	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
21	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Vsx1, Tal1"	Neural cells c12	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
22	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Isl1	Neural cells c12	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
23	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Shha	Neural cells c13	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
24	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Foxa	Neural cells c13	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
25	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Bmp5, Nog1"	Neural cells c14	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
26	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Foxn4, Vsx1"	Neural cells c14	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
27	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Slca3b	Neural cells c15	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
28	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Hoxd4a, Cygb1"	Neural cells c2	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
29	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Dbx1a	Neural cells c2	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
30	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Mki67, Nusap1"	Neural cells c2	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
31	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Egr2b, Epha4a, Mafba"	Neural cells c3	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
32	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Mcm2	Neural cells c3	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
33	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Otpa, Pax2a"	Neural cells c3	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
34	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Cryba1l1, Prdx6"	Neural cells c4	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
35	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Neurog1, Neurogd4, Otpb"	Neural cells c4	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
36	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Ascl1a, Zic1"	Neural cells c4	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
37	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Rbp5	Neural cells c5	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
38	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	Myca	Neural cells c5	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
39	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	Danio rerio	Neural cells	"Gata2a, Tal1"	Neural cells c5	Tissue	Brain	32094115	Development	A single cell transcriptome atlas of the developing zebrafish hindbrain	GSE141428
